item_id,name,stock_count
NV45YY3WDP4BP,Skittles,-14.0
XEKF5X4JBVH2J,Prime Hydration Lemonade,-17.0
7BSD2EP23VPJP,Prime Hydration Strawberry watermalon,-2.0
B1CGWTGZG1H4P,Cabbage,-6.0
NDPH7FHAH74VJ,C2O Coconut Water Orig.,-21.0
HB11M2YT4ZD4A,High Noon Vodka Seltzer,-43.0
ZMFMYA41PKPS4,Peak Fresh Cut,-34.0
WJKKB2E849V3W,La Croix Tangerine,-34.0
4HZNV9FTTRP9T,Franzia Chardonnay 34 Glasses,-1.0
FN3X3FRMW0XW2,Happy Dad Hard Seltzer,-4.0
1CKNRNP1VPST4,Thin Man Wake and Lake,-6.0
FNRYT52VVTP30,Prime Hydration Strawberry Banana,-68.0
4SZJJ6YZBKA8G,Toasted Artisan Collection,-19.0
EM84QSQ0FBDVE,Denizens Born Bohemian Pils,-45.0
WAPNKM1BHJH1E,High Noon Tequila Seltzer,-4.0
3GD9G9R9DSY8R,Poppi Prebiotic Soda Orange 12ft,-55.0
ZRRSD42F2VQF6,Zero Gravity Pisolino,-29.0
YTZTBFW9N3C1A,Cotes De Provence,-3.0
8F9QNCJN1H7R2,San Pellegrino Aranciata,-26.0
M38ZAY2AWAQPR,Brew Luxe Original,-6.0
MGA57RN04TY8M,Brew Luxe Cinnamon Sweet 5fl,-6.0
QV11FGYMP6K9Y,Hunt's Tomato Paste No Salt,-5.0
VS3X82CF5D7FW,Great Lakes Kick Around,-30.0
X2DA6KDTKAVKM,Paradiss Cove Peachy Lychee Martini,-3.0
3A6FHGNYE3N3W,Bells Hazxy Hearted IPA,-4.0
NEWZ8F69DCGV4,Flying Dog Hare Chaser,-3.0
5TPZ9WAJRHB08,Oscar Blues Hazy Blues,-13.0
55J2B4YK4721G,Italian Style Baretta,-3.0
D2Q32EBFB0MNR,Lysol Spray,-1.0
60A4P01QWA930,Repel,-17.0
HG09E5JKQH78E,Banana Boat Sport Spf 50,-4.0
XM5X2KW1KA4HW,BR St Short Cake,-6.0
NW3SMYPFGMD22,Barefoot Bubbly,-52.0
8PVPZHA869N2E,Martinelli Sparkling Cider,-27.0
24D2ZBC9173FY,Red Onion (Large),-17.0
BGRJD636NNR9W,Jimmy Dean Croissant Frozen Sandwich,-3.0
BYKC395APN4EA,Ranch Seasoning Packet,-2.0
QGX28AVFTA61C,Mom Water Variety Pack,-17.0
KK89BG2KDYC6M,Alba Hawaiian 50,-1.0
ZDZ9SW592QFYG,Chobani Peach Drink,-10.0
VB16DVCHA3PM8,OS Cranberry Juice,-7.0
F861XSJ90NNMT,Banana Sport Ult 50,-1.0
9YMV6C84F43PJ,Las Perdices Pinot Grigio,-44.0
RHX1SRN0HWTM2,Zuccchini (Large),-8.0
JZ6KZQ1XFC9B4,Yellow Onion (Large),-96.0
ZQ9Y0BKV22RQ0,Green Onion,-18.0
Q5ACPZN7FSDKA,Cucumber (Regular),-34.0
T87733SZA443G,Romain Lettuce (Large),-46.0
Q2SG5YYDHZ2GY,Celery,-8.0
JXFK8VGS7JCEY,Kirkland Chicken Breast,-15.0
J8SSXXWX6DGFP,Tomato (Large),-46.0
Q6PZA6JBS9RP4,Bell Pepper (Other Colors),-130.0
Q66RS1KXEDEZ0,Pure Leaf Sweet Tea,-28.0
SVHJR5EKRRWVG,David Orig. Sunflower Seed,-20.0
BE26877D9J7TW,Munchos,-11.0
RNZ0E91VVBQ30,Cheetos Flamin Hot Limon,-18.0
5FB1M96TQKW3C,Dr. Snack Pistachios,-6.0
76GXKPJE3J120,Dr. Snack Healt N Nut,-6.0
GMJE37FQYMD9P,Ziploc Slider Gallon Freezer Storage Bags,-4.0
2CSDYPVB5T6HR,Ziploc Seal Top Bags | Freezer | Quart,-10.0
3KFQTF04TSBNJ,Clintro,-47.0
8PASM4G62AGPM,Carrots (Regular),-37.0
1TF97P0TP9QE8,Bell Pepper (Green),-32.0
DVBG2WPB32KDP,Cascadian Farm Organic No Added Sugar Blueberry Vanilla Granola,-55.0
B20580PETFHG2,Cascade Platinum Action Pacs Dishwasher Detergent Fresh Scent,-23.0
TZ31VHMGDX3XA,ZYN Chill 6mg Pouches,-62.0
PK9P4YDYXH48G,Ziploc Brand Sandwich Bags With Grip N Seal Technology,-3.0
AG8SAPGT6JVQ2,Yogi Organic Super Antioxidant Herbal Supplement Green Tea | 16 Tea Bags -- 6 Per Case,-5.0
ZG2S8JNHVMTDM,Zero Gravity Green State Lager,-1.0
YQ3ZMGC2X9VEA,Xtra Detergent | Sparkling Fresh 56 Fl Oz,-5.0
86Y7CF7DEP5KJ,Zero Gravity 12pk Variety Pack Can,-12.0
89325P5BR3EHP,Wyler's Instant Bouillon Beef Flavored Cubes | 3.25 Oz Jar,-1.0
6DMYKFRSZ2WQM,Wonderful Pistachios | Sweet Chili Flavored | 1.25 Ounce Bag,-7.0
1Y11H0A4CPWCP,Wish-Bone Fat Free Italian Salad Dressing 16 Fl. Oz. Bottle,-1.0
2F29VP2GPQAN0,Wish Bone Creamy French Dressing 24 Oz,-3.0
1HAB8XBMH0N7M,Wrigley's Double Mint 0.50 Pre,-8.0
ZNJMMKXAFVAXR,7up 7 Up Lemon Lime Flavored Soda 20 Fl Oz Bottle,-3.0
E2KC71E7SQ6K6,Rogue Hazelnut Brown 6pc,-14.0
YEKSZGV5SSTAE,Vicks Nyquil Cold And Flu Nighttime Relief Liquid Capsules,-2.0
TMDFR4T7CK6CT,Essential Everyday Dog Food | Chopped Diner | With Chicken & Rice,-3.0
0GS63WVW5QKWE,Unique Snacks Pretzels - Pretzel Splits - Original - Case Of 12 - 11 Oz,-1.0
SN92EZKW5F94P,U Check Pregnancy Test #42001 Strip,-2.0
AWP5NA5RDDVFM,Tylenol Sinus Congestion And Pain Severe Caplets For Adults,-5.0
